Type,Time,Bid,Ask,Volume
Tick,2024-10-13 21:05:00.140000+00:00,1.30621,1.30666,
Tick,2024-10-13 21:05:00.193000+00:00,1.30617,1.30662,
Tick,2024-10-13 21:05:00.242000+00:00,1.30615,1.3066,
Tick,2024-10-13 21:05:00.906000+00:00,1.30618,1.30663,
Tick,2024-10-13 21:05:01.080000+00:00,1.30622,1.30667,
Tick,2024-10-13 21:05:01.886000+00:00,1.30623,1.30668,
Tick,2024-10-13 21:05:03.557000+00:00,1.30624,1.30669,
Tick,2024-10-13 21:05:05.484000+00:00,1.30627,1.30672,
Tick,2024-10-13 21:05:10.190000+00:00,1.30628,1.30673,
Tick,2024-10-13 21:05:15.816000+00:00,1.30631,1.30676,
Tick,2024-10-13 21:05:30.030000+00:00,1.3063,1.30675,
Tick,2024-10-13 21:05:38.620000+00:00,1.30631,1.30676,
Tick,2024-10-13 21:05:44.137000+00:00,1.30629,1.30674,
Tick,2024-10-13 21:06:00.846000+00:00,1.30629,,
Tick,2024-10-13 21:06:13.554000+00:00,1.30628,1.30673,
Tick,2024-10-13 21:06:20.459000+00:00,1.30627,1.3067,
Tick,2024-10-13 21:06:32.702000+00:00,1.30628,1.30671,
Tick,2024-10-13 21:06:43.761000+00:00,1.30627,1.3067,
Tick,2024-10-13 21:06:46.476000+00:00,1.30628,1.30671,
Tick,2024-10-13 21:06:49.428000+00:00,1.30627,1.3067,
Tick,2024-10-13 21:06:49.479000+00:00,1.30626,,
Tick,2024-10-13 21:06:49.479000+00:00,1.30627,1.30671,
Tick,2024-10-13 21:06:50.478000+00:00,,1.3067,
Tick,2024-10-13 21:06:58.266000+00:00,1.30628,1.30671,
Tick,2024-10-13 21:06:58.310000+00:00,1.30627,1.3067,
Tick,2024-10-13 21:07:00.126000+00:00,1.30631,1.30674,
Tick,2024-10-13 21:07:14.995000+00:00,1.30627,1.3067,
Tick,2024-10-13 21:07:27.503000+00:00,1.30626,1.30669,
Tick,2024-10-13 21:07:41.411000+00:00,1.30625,1.30668,
Tick,2024-10-13 21:07:50.517000+00:00,1.30626,1.30669,
Tick,2024-10-13 21:07:52.419000+00:00,1.30625,1.30668,
Tick,2024-10-13 21:08:00.024000+00:00,1.30629,1.30672,
Tick,2024-10-13 21:08:00.024000+00:00,1.3063,,
Tick,2024-10-13 21:08:10.033000+00:00,1.30631,1.30673,
Tick,2024-10-13 21:08:20.136000+00:00,1.30633,1.30678,
Tick,2024-10-13 21:08:34.546000+00:00,1.30631,1.30673,
Tick,2024-10-13 21:08:44.155000+00:00,1.30628,1.3067,
Tick,2024-10-13 21:09:34.283000+00:00,1.30633,1.30677,
Tick,2024-10-13 21:09:44.289000+00:00,,1.3067,
Tick,2024-10-13 21:09:47.491000+00:00,1.3063,1.30665,
Tick,2024-10-13 21:10:00.193000+00:00,1.3063,1.30672,
Tick,2024-10-13 21:10:01.761000+00:00,1.30633,1.30676,
Tick,2024-10-13 21:10:01.801000+00:00,1.30634,1.30677,
Tick,2024-10-13 21:10:12.507000+00:00,1.30635,1.30678,
Tick,2024-10-13 21:10:22.614000+00:00,,1.30679,
Tick,2024-10-13 21:10:55.221000+00:00,1.30636,,
Tick,2024-10-13 21:11:04.541000+00:00,1.30635,1.30678,
Tick,2024-10-13 21:11:24.753000+00:00,1.30639,1.30684,
Tick,2024-10-13 21:11:34.260000+00:00,1.30637,1.3068,
Tick,2024-10-13 21:11:44.069000+00:00,1.30636,1.30679,
Tick,2024-10-13 21:11:50.671000+00:00,,1.30678,
Tick,2024-10-13 21:12:02.479000+00:00,1.30636,1.30679,
Tick,2024-10-13 21:12:08.683000+00:00,1.30639,1.30684,
Tick,2024-10-13 21:12:10.484000+00:00,1.30637,1.3068,
Tick,2024-10-13 21:12:16.217000+00:00,,1.30681,
Tick,2024-10-13 21:12:27.644000+00:00,1.30641,1.30685,
Tick,2024-10-13 21:12:27.695000+00:00,1.30637,1.30681,
Tick,2024-10-13 21:12:40.203000+00:00,1.30635,1.30679,
Tick,2024-10-13 21:12:42.605000+00:00,1.30636,1.3068,
Tick,2024-10-13 21:12:42.629000+00:00,1.30638,1.30682,
Tick,2024-10-13 21:13:11.228000+00:00,1.30646,1.3069,
Tick,2024-10-13 21:13:18.529000+00:00,1.30644,1.30687,
Tick,2024-10-13 21:13:18.629000+00:00,1.30645,1.30688,
