Time,Bid_Open_open,Bid_Open_high,Bid_Open_low,Bid_Open_close,Bid_High_open,Bid_High_high,Bid_High_low,Bid_High_close,Bid_Low_open,Bid_Low_high,Bid_Low_low,Bid_Low_close,Bid_Close_open,Bid_Close_high,Bid_Close_low,Bid_Close_close,Ask_Open_open,Ask_Open_high,Ask_Open_low,Ask_Open_close,Ask_High_open,Ask_High_high,Ask_High_low,Ask_High_close,Ask_Low_open,Ask_Low_high,Ask_Low_low,Ask_Low_close,Ask_Close_open,Ask_Close_high,Ask_Close_low,Ask_Close_close,Volume_open,Volume_high,Volume_low,Volume_close,returns,SMA_20,BB_upper,BB_lower,RSI,close_normalized
2024-10-14 00:20:00+00:00,1.30471,1.30471,1.30471,1.30471,1.30504,1.30504,1.30504,1.30504,1.30469,1.30469,1.30469,1.30469,1.30499,1.30499,1.30499,1.30499,1.30483,1.30483,1.30483,1.30483,1.30517,1.30517,1.30517,1.30517,1.30482,1.30482,1.30482,1.30482,1.30512,1.30512,1.30512,1.30512,0.0,0.0,0.0,0.0,0.00021460707743492513,1.3048864999999998,1.3056439826730637,1.304129017326936,48.1818181818214,0.3699186991870491
2024-10-14 00:25:00+00:00,1.30499,1.30499,1.30499,1.30499,1.30526,1.30526,1.30526,1.30526,1.30496,1.30496,1.30496,1.30496,1.30496,1.30496,1.30496,1.30496,1.30511,1.30511,1.30511,1.30511,1.30539,1.30539,1.30539,1.30539,1.30509,1.30509,1.30509,1.30509,1.30509,1.30509,1.30509,1.30509,0.0,0.0,0.0,0.0,-2.2988681905755648e-05,1.304862,1.3055730141015645,1.3041509858984355,47.53363228699448,0.3577235772357503
2024-10-14 00:30:00+00:00,1.30496,1.30496,1.30496,1.30496,1.3052,1.3052,1.3052,1.3052,1.30487,1.30487,1.30487,1.30487,1.30516,1.30516,1.30516,1.30516,1.3051,1.3051,1.3051,1.3051,1.30533,1.30533,1.30533,1.30533,1.305,1.305,1.305,1.305,1.30529,1.30529,1.30529,1.30529,0.0,0.0,0.0,0.0,0.00015326140264848576,1.3048555,1.305552273768308,1.3041587262316918,52.066115702478655,0.43902439024395745
2024-10-14 00:35:00+00:00,1.30516,1.30516,1.30516,1.30516,1.30517,1.30517,1.30517,1.30517,1.30493,1.30493,1.30493,1.30493,1.30495,1.30495,1.30495,1.30495,1.30528,1.30528,1.30528,1.30528,1.3053,1.3053,1.3053,1.3053,1.30506,1.30506,1.30506,1.30506,1.30508,1.30508,1.30508,1.30508,0.0,0.0,0.0,0.0,-0.0001608998130497863,1.3048414999999998,1.3055175341006595,1.30416546589934,48.837209302326784,0.3536585365854077
2024-10-14 00:40:00+00:00,1.30496,1.30496,1.30496,1.30496,1.30499,1.30499,1.30499,1.30499,1.30484,1.30484,1.30484,1.30484,1.30487,1.30487,1.30487,1.30487,1.30509,1.30509,1.30509,1.30509,1.30512,1.30512,1.30512,1.30512,1.30497,1.30497,1.30497,1.30497,1.305,1.305,1.305,1.305,0.0,0.0,0.0,0.0,-6.130503084411654e-05,1.3048164999999998,1.305445593750851,1.3041874062491488,47.368421052631575,0.32113821138212484
2024-10-14 00:45:00+00:00,1.30486,1.30486,1.30486,1.30486,1.30488,1.30488,1.30488,1.30488,1.30456,1.30456,1.30456,1.30456,1.30475,1.30475,1.30475,1.30475,1.30499,1.30499,1.30499,1.30499,1.305,1.305,1.305,1.305,1.30469,1.30469,1.30469,1.30469,1.30488,1.30488,1.30488,1.30488,0.0,0.0,0.0,0.0,-9.196318407189708e-05,1.3047885000000001,1.3053734075500425,1.3042035924499578,50.60240963855357,0.2723577235772908
2024-10-14 00:50:00+00:00,1.30474,1.30474,1.30474,1.30474,1.30507,1.30507,1.30507,1.30507,1.30469,1.30469,1.30469,1.30469,1.30499,1.30499,1.30499,1.30499,1.30487,1.30487,1.30487,1.30487,1.3052,1.3052,1.3052,1.3052,1.30482,1.30482,1.30482,1.30482,1.30511,1.30511,1.30511,1.30511,0.0,0.0,0.0,0.0,0.0001839432841541644,1.3047845,1.305362353560025,1.304206646439975,56.179775280901026,0.3699186991870491
2024-10-14 00:55:00+00:00,1.30499,1.30499,1.30499,1.30499,1.30527,1.30527,1.30527,1.30527,1.30495,1.30495,1.30495,1.30495,1.30505,1.30505,1.30505,1.30505,1.30512,1.30512,1.30512,1.30512,1.30539,1.30539,1.30539,1.30539,1.30508,1.30508,1.30508,1.30508,1.30518,1.30518,1.30518,1.30518,0.0,0.0,0.0,0.0,4.597736381106721e-05,1.3047834999999999,1.3053593389760227,1.304207661023977,57.564575645755646,0.3943089430894661
2024-10-14 01:00:00+00:00,1.30506,1.30506,1.30506,1.30506,1.30506,1.30506,1.30506,1.30506,1.30443,1.30443,1.30443,1.30443,1.30449,1.30449,1.30449,1.30449,1.30519,1.30519,1.30519,1.30519,1.30519,1.30519,1.30519,1.30519,1.30455,1.30455,1.30455,1.30455,1.30462,1.30462,1.30462,1.30462,0.0,0.0,0.0,0.0,-0.0004291023332440025,1.304755,1.3053296394750686,1.3041803605249316,47.22222222222165,0.16666666666666666
2024-10-14 01:05:00+00:00,1.30449,1.30449,1.30449,1.30449,1.30469,1.30469,1.30469,1.30469,1.30438,1.30438,1.30438,1.30438,1.30461,1.30461,1.30461,1.30461,1.30461,1.30461,1.30461,1.30461,1.30482,1.30482,1.30482,1.30482,1.30451,1.30451,1.30451,1.30451,1.30473,1.30473,1.30473,1.30473,0.0,0.0,0.0,0.0,9.198997309312062e-05,1.304735,1.3053000337670315,1.3041699662329684,47.22222222222527,0.21544715447159093
2024-10-14 01:10:00+00:00,1.30461,1.30461,1.30461,1.30461,1.30479,1.30479,1.30479,1.30479,1.30447,1.30447,1.30447,1.30447,1.3047,1.3047,1.3047,1.3047,1.30474,1.30474,1.30474,1.30474,1.30492,1.30492,1.30492,1.30492,1.3046,1.3046,1.3046,1.3046,1.30483,1.30483,1.30483,1.30483,0.0,0.0,0.0,0.0,6.898613378703011e-05,1.3047195,1.305269580376894,1.3041694196231062,58.483754512632316,0.25203252032521645
2024-10-14 01:15:00+00:00,1.3047,1.3047,1.3047,1.3047,1.30516,1.30516,1.30516,1.30516,1.3047,1.3047,1.3047,1.3047,1.30509,1.30509,1.30509,1.30509,1.30484,1.30484,1.30484,1.30484,1.30529,1.30529,1.30529,1.30529,1.30484,1.30484,1.30484,1.30484,1.30522,1.30522,1.30522,1.30522,0.0,0.0,0.0,0.0,0.0002989192917912664,1.304738,1.305312496575952,1.304163503424048,66.77740863787199,0.41056910569110755
2024-10-14 01:20:00+00:00,1.3051,1.3051,1.3051,1.3051,1.30511,1.30511,1.30511,1.30511,1.30464,1.30464,1.30464,1.30464,1.30478,1.30478,1.30478,1.30478,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30523,1.30477,1.30477,1.30477,1.30477,1.30491,1.30491,1.30491,1.30491,0.0,0.0,0.0,0.0,-0.00023753151123684368,1.304744,1.305317572369583,1.304170427630417,56.76567656765544,0.2845528455284993
2024-10-14 01:25:00+00:00,1.30478,1.30478,1.30478,1.30478,1.30489,1.30489,1.30489,1.30489,1.30475,1.30475,1.30475,1.30475,1.3048,1.3048,1.3048,1.3048,1.30492,1.30492,1.30492,1.30492,1.30502,1.30502,1.30502,1.30502,1.30488,1.30488,1.30488,1.30488,1.30493,1.30493,1.30493,1.30493,0.0,0.0,0.0,0.0,1.532825457162268e-05,1.304752,1.305323925648454,1.304180074351546,51.66051660516423,0.2926829268292749
