Time,Bid_Open_open,Bid_Open_high,Bid_Open_low,Bid_Open_close,Bid_High_open,Bid_High_high,Bid_High_low,Bid_High_close,Bid_Low_open,Bid_Low_high,Bid_Low_low,Bid_Low_close,Bid_Close_open,Bid_Close_high,Bid_Close_low,Bid_Close_close,Ask_Open_open,Ask_Open_high,Ask_Open_low,Ask_Open_close,Ask_High_open,Ask_High_high,Ask_High_low,Ask_High_close,Ask_Low_open,Ask_Low_high,Ask_Low_low,Ask_Low_close,Ask_Close_open,Ask_Close_high,Ask_Close_low,Ask_Close_close,Volume_open,Volume_high,Volume_low,Volume_close,returns,SMA_20,BB_upper,BB_lower,RSI,close_normalized
2024-10-13 21:05:00+00:00,1.09309,1.09309,1.09309,1.09309,1.09334,1.09334,1.09334,1.09334,1.09307,1.09307,1.09307,1.09307,1.09308,1.09308,1.09308,1.09308,1.09361,1.09361,1.09361,1.09361,1.09361,1.09361,1.09361,1.09361,1.09342,1.09342,1.09342,1.09342,1.09357,1.09357,1.09357,1.09357,0.0,0.0,0.0,0.0,,,,,,0.890909090909179
2024-10-13 21:10:00+00:00,1.09306,1.09306,1.09306,1.09306,1.09317,1.09317,1.09317,1.09317,1.09305,1.09305,1.09305,1.09305,1.09307,1.09307,1.09307,1.09307,1.09356,1.09356,1.09356,1.09356,1.09358,1.09358,1.09358,1.09358,1.09348,1.09348,1.09348,1.09348,1.09354,1.09354,1.09354,1.09354,0.0,0.0,0.0,0.0,-9.148461228902782e-06,,,,,0.884848484848533
2024-10-13 21:15:00+00:00,1.09304,1.09304,1.09304,1.09304,1.09317,1.09317,1.09317,1.09317,1.09304,1.09304,1.09304,1.09304,1.09305,1.09305,1.09305,1.09305,1.09355,1.09355,1.09355,1.09355,1.09358,1.09358,1.09358,1.09358,1.09348,1.09348,1.09348,1.09348,1.09356,1.09356,1.09356,1.09356,0.0,0.0,0.0,0.0,-1.8297089847796322e-05,,,,,0.8727272727273755
2024-10-13 21:20:00+00:00,1.09305,1.09305,1.09305,1.09305,1.09317,1.09317,1.09317,1.09317,1.09305,1.09305,1.09305,1.09305,1.09314,1.09314,1.09314,1.09314,1.09356,1.09356,1.09356,1.09356,1.09358,1.09358,1.09358,1.09358,1.0935,1.0935,1.0935,1.0935,1.09352,1.09352,1.09352,1.09352,0.0,0.0,0.0,0.0,8.233841086857652e-05,,,,,0.927272727272786
2024-10-13 21:25:00+00:00,1.09314,1.09314,1.09314,1.09314,1.09318,1.09318,1.09318,1.09318,1.09306,1.09306,1.09306,1.09306,1.09309,1.09309,1.09309,1.09309,1.09353,1.09353,1.09353,1.09353,1.09358,1.09358,1.09358,1.09358,1.09351,1.09351,1.09351,1.09351,1.09358,1.09358,1.09358,1.09358,0.0,0.0,0.0,0.0,-4.573979545174911e-05,,,,,0.8969696969696904
2024-10-13 21:30:00+00:00,1.09307,1.09307,1.09307,1.09307,1.09312,1.09312,1.09312,1.09312,1.09307,1.09307,1.09307,1.09307,1.09312,1.09312,1.09312,1.09312,1.09358,1.09358,1.09358,1.09358,1.09359,1.09359,1.09359,1.09359,1.09353,1.09353,1.09353,1.09353,1.09354,1.09354,1.09354,1.09354,0.0,0.0,0.0,0.0,2.7445132605885547e-05,,,,,0.9151515151516285
2024-10-13 21:35:00+00:00,1.09312,1.09312,1.09312,1.09312,1.09313,1.09313,1.09313,1.09313,1.09304,1.09304,1.09304,1.09304,1.09304,1.09304,1.09304,1.09304,1.09355,1.09355,1.09355,1.09355,1.09358,1.09358,1.09358,1.09358,1.09351,1.09351,1.09351,1.09351,1.09354,1.09354,1.09354,1.09354,0.0,0.0,0.0,0.0,-7.318501170971992e-05,,,,,0.8666666666667294
2024-10-13 21:40:00+00:00,1.09305,1.09305,1.09305,1.09305,1.09312,1.09312,1.09312,1.09312,1.09305,1.09305,1.09305,1.09305,1.09306,1.09306,1.09306,1.09306,1.09355,1.09355,1.09355,1.09355,1.09356,1.09356,1.09356,1.09356,1.09349,1.09349,1.09349,1.09349,1.09353,1.09353,1.09353,1.09353,0.0,0.0,0.0,0.0,1.829759203686443e-05,,,,,0.8787878787878869
2024-10-13 21:45:00+00:00,1.09306,1.09306,1.09306,1.09306,1.0932,1.0932,1.0932,1.0932,1.09304,1.09304,1.09304,1.09304,1.09305,1.09305,1.09305,1.09305,1.0934,1.0934,1.0934,1.0934,1.09355,1.09355,1.09355,1.09355,1.09339,1.09339,1.09339,1.09339,1.09354,1.09354,1.09354,1.09354,0.0,0.0,0.0,0.0,-9.148628620447852e-06,,,,,0.8727272727273755
2024-10-13 21:50:00+00:00,1.09305,1.09305,1.09305,1.09305,1.09315,1.09315,1.09315,1.09315,1.09302,1.09302,1.09302,1.09302,1.09309,1.09309,1.09309,1.09309,1.09352,1.09352,1.09352,1.09352,1.09354,1.09354,1.09354,1.09354,1.09344,1.09344,1.09344,1.09344,1.09352,1.09352,1.09352,1.09352,0.0,0.0,0.0,0.0,3.659484927487355e-05,,,,,0.8969696969696904
