Type,Time,Bid,Ask,Volume
Tick,2024-10-13 22:00:19.110000+00:00,2655.39,2656.44,
Tick,2024-10-13 22:00:19.511000+00:00,2655.48,2656.52,
Tick,2024-10-13 22:00:19.611000+00:00,2655.42,2656.43,
Tick,2024-10-13 22:00:20.111000+00:00,2655.71,2656.12,
Tick,2024-10-13 22:00:20.411000+00:00,2655.72,2656.13,
Tick,2024-10-13 22:00:20.612000+00:00,2655.68,2656.11,
Tick,2024-10-13 22:00:20.711000+00:00,2655.45,2656.32,
Tick,2024-10-13 22:00:21.812000+00:00,2655.41,2656.31,
Tick,2024-10-13 22:00:23.513000+00:00,2655.57,2656.69,
Tick,2024-10-13 22:00:23.544000+00:00,2655.69,2656.82,
Tick,2024-10-13 22:00:23.614000+00:00,2655.62,2656.74,
Tick,2024-10-13 22:00:23.813000+00:00,2655.67,2656.72,
Tick,2024-10-13 22:00:24.013000+00:00,2655.5,2656.55,
Tick,2024-10-13 22:00:24.113000+00:00,2655.51,2656.56,
Tick,2024-10-13 22:00:24.514000+00:00,2655.55,2656.6,
Tick,2024-10-13 22:00:24.814000+00:00,,2656.61,
Tick,2024-10-13 22:00:25.016000+00:00,2655.54,2656.59,
Tick,2024-10-13 22:00:26.517000+00:00,2655.81,2656.23,
Tick,2024-10-13 22:00:26.615000+00:00,2655.78,2656.18,
Tick,2024-10-13 22:00:27.217000+00:00,2655.69,2656.11,
Tick,2024-10-13 22:00:27.517000+00:00,2655.64,2656.05,
Tick,2024-10-13 22:00:30.122000+00:00,2655.69,2656.1,
Tick,2024-10-13 22:00:30.220000+00:00,2655.7,2656.11,
Tick,2024-10-13 22:00:30.321000+00:00,2655.74,2656.15,
Tick,2024-10-13 22:00:30.421000+00:00,2655.37,2656.27,
Tick,2024-10-13 22:00:30.520000+00:00,2655.38,2656.29,
Tick,2024-10-13 22:00:30.620000+00:00,2655.48,2656.44,
Tick,2024-10-13 22:00:30.722000+00:00,2655.35,2656.38,
Tick,2024-10-13 22:00:30.822000+00:00,2655.4,2656.5,
Tick,2024-10-13 22:00:30.920000+00:00,2655.47,2656.48,
Tick,2024-10-13 22:00:31.120000+00:00,2655.69,2656.72,
Tick,2024-10-13 22:00:31.220000+00:00,2655.67,2656.8,
Tick,2024-10-13 22:00:31.321000+00:00,2655.73,2656.85,
Tick,2024-10-13 22:00:31.420000+00:00,2655.97,2656.5,
Tick,2024-10-13 22:00:31.822000+00:00,2655.98,2656.52,
Tick,2024-10-13 22:00:32.023000+00:00,,2656.5,
Tick,2024-10-13 22:00:32.122000+00:00,2656.03,2656.49,
Tick,2024-10-13 22:00:32.323000+00:00,2656.02,2656.46,
Tick,2024-10-13 22:00:32.423000+00:00,2656.01,2656.43,
Tick,2024-10-13 22:00:32.622000+00:00,2656.03,2656.46,
Tick,2024-10-13 22:00:33.225000+00:00,2655.95,2656.37,
Tick,2024-10-13 22:00:33.324000+00:00,2655.97,2656.34,
Tick,2024-10-13 22:00:33.523000+00:00,2655.93,2656.35,
Tick,2024-10-13 22:00:33.623000+00:00,2655.88,2656.39,
Tick,2024-10-13 22:00:34.222000+00:00,,2656.43,
Tick,2024-10-13 22:00:34.623000+00:00,2655.9,2656.37,
Tick,2024-10-13 22:00:35.527000+00:00,2655.61,2656.61,
Tick,2024-10-13 22:00:35.925000+00:00,2655.85,2656.32,
Tick,2024-10-13 22:00:36.825000+00:00,2655.83,2656.3,
Tick,2024-10-13 22:00:37.325000+00:00,2655.85,2656.35,
Tick,2024-10-13 22:00:37.425000+00:00,2655.87,2656.37,
Tick,2024-10-13 22:00:38.126000+00:00,2655.65,2656.69,
Tick,2024-10-13 22:00:38.225000+00:00,2655.6,2656.61,
Tick,2024-10-13 22:00:38.326000+00:00,2655.79,2656.35,
Tick,2024-10-13 22:00:38.527000+00:00,2655.81,2656.32,
Tick,2024-10-13 22:00:38.726000+00:00,2655.75,2656.26,
Tick,2024-10-13 22:00:38.927000+00:00,2655.71,2656.36,
Tick,2024-10-13 22:00:39.127000+00:00,2655.75,2656.28,
Tick,2024-10-13 22:00:39.226000+00:00,2655.77,,
Tick,2024-10-13 22:00:39.327000+00:00,2655.75,,
Tick,2024-10-13 22:00:39.426000+00:00,2655.74,2656.2,
Tick,2024-10-13 22:00:39.527000+00:00,2655.64,2656.55,
Tick,2024-10-13 22:00:39.627000+00:00,2655.63,2656.02,
Tick,2024-10-13 22:00:39.727000+00:00,2655.5,2655.88,
Tick,2024-10-13 22:00:39.927000+00:00,2655.47,,
Tick,2024-10-13 22:00:40.628000+00:00,2655.46,2655.86,
Tick,2024-10-13 22:00:40.828000+00:00,2655.47,2655.9,
Tick,2024-10-13 22:00:40.929000+00:00,2655.42,2655.81,
Tick,2024-10-13 22:00:41.530000+00:00,2655.39,2655.74,
Tick,2024-10-13 22:00:41.830000+00:00,2655.36,2655.7,
Tick,2024-10-13 22:00:42.333000+00:00,2655.29,2655.64,
Tick,2024-10-13 22:00:42.432000+00:00,2655.28,2655.63,
Tick,2024-10-13 22:00:42.530000+00:00,2655.34,2655.88,
Tick,2024-10-13 22:00:42.631000+00:00,2655.36,2655.85,
Tick,2024-10-13 22:00:43.231000+00:00,2655.34,2655.83,
Tick,2024-10-13 22:00:43.431000+00:00,2655.35,2655.88,
Tick,2024-10-13 22:00:43.530000+00:00,2655.26,2655.71,
Tick,2024-10-13 22:00:44.030000+00:00,2655.24,2655.68,
Tick,2024-10-13 22:00:44.531000+00:00,2655.05,2655.56,
Tick,2024-10-13 22:00:44.632000+00:00,2655.03,2655.53,
Tick,2024-10-13 22:00:44.732000+00:00,2655.07,2655.57,
Tick,2024-10-13 22:00:44.935000+00:00,2655.06,2655.5,
Tick,2024-10-13 22:00:45.132000+00:00,2655.02,2655.51,
